2022-02-10 13:26:24.670 | background-preinit | INFO  | request_id: | org.hibernate.validator.internal.util.Version: HV000001: Hibernate Validator 6.0.13.Final
2022-02-10 13:26:24.681 | restartedMain | INFO  | request_id: | org.springframework.boot.StartupInfoLogger: Starting RenshuoApplication using Java 17 on P84738 with PID 6858 (/Users/sarouar.hossain/Documents/SpringPractice/SpringRenshou/target/classes started by sarouar.hossain in /Users/sarouar.hossain/Documents/SpringPractice/SpringRenshou)
2022-02-10 13:26:24.682 | restartedMain | DEBUG | request_id: | org.springframework.boot.StartupInfoLogger: Running with Spring Boot v2.5.5, Spring v5.3.10
2022-02-10 13:26:24.683 | restartedMain | INFO  | request_id: | org.springframework.boot.SpringApplication: No active profile set, falling back to default profiles: default
2022-02-10 13:26:24.794 | restartedMain | INFO  | request_id: | org.springframework.boot.logging.DeferredLog: Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-10 13:26:24.795 | restartedMain | INFO  | request_id: | org.springframework.boot.logging.DeferredLog: For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-10 13:26:25.943 | restartedMain | INFO  | request_id: | org.springframework.boot.web.embedded.tomcat.TomcatWebServer: Tomcat initialized with port(s): 9090 (http)
2022-02-10 13:26:25.957 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Initializing ProtocolHandler ["http-nio-9090"]
2022-02-10 13:26:25.958 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Starting service [Tomcat]
2022-02-10 13:26:25.958 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Starting Servlet engine: [Apache Tomcat/9.0.53]
2022-02-10 13:26:26.018 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Initializing Spring embedded WebApplicationContext
2022-02-10 13:26:26.018 | restartedMain | INFO  | request_id: | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext: Root WebApplicationContext: initialization completed in 1222 ms
2022-02-10 13:26:26.638 | restartedMain | INFO  | request_id: | org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer: LiveReload server is running on port 35729
2022-02-10 13:26:26.690 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Starting ProtocolHandler ["http-nio-9090"]
2022-02-10 13:26:26.742 | restartedMain | INFO  | request_id: | org.springframework.boot.web.embedded.tomcat.TomcatWebServer: Tomcat started on port(s): 9090 (http) with context path ''
2022-02-10 13:26:26.753 | restartedMain | INFO  | request_id: | org.springframework.boot.StartupInfoLogger: Started RenshuoApplication in 2.596 seconds (JVM running for 3.016)
2022-02-10 13:26:33.504 | http-nio-9090-exec-1 | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-10 13:26:33.505 | http-nio-9090-exec-1 | INFO  | request_id: | org.springframework.web.servlet.FrameworkServlet: Initializing Servlet 'dispatcherServlet'
2022-02-10 13:26:33.506 | http-nio-9090-exec-1 | INFO  | request_id: | org.springframework.web.servlet.FrameworkServlet: Completed initialization in 1 ms
2022-02-10 13:26:33.515 | http-nio-9090-exec-1 | INFO  | request_id:f9870796-fd2c-4e8c-b185-9f4217a60e5a | com.sarouar.renshuo.interceptors.LoggingInterceptors: Request started.
2022-02-10 13:26:33.520 | http-nio-9090-exec-1 | INFO  | request_id:f9870796-fd2c-4e8c-b185-9f4217a60e5a | com.sarouar.renshuo.services.TestService: Hello from service method
2022-02-10 13:26:33.566 | http-nio-9090-exec-1 | WARN  | request_id:f9870796-fd2c-4e8c-b185-9f4217a60e5a | org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver: Resolved [java.lang.IllegalStateException: ThreadPoolTaskExecutor not initialized]
2022-02-10 13:26:33.568 | http-nio-9090-exec-1 | INFO  | request_id:f9870796-fd2c-4e8c-b185-9f4217a60e5a | com.sarouar.renshuo.interceptors.LoggingInterceptors: Request Finished. Time Taken = 52
2022-02-10 13:27:49.524 | background-preinit | INFO  | request_id: | org.hibernate.validator.internal.util.Version: HV000001: Hibernate Validator 6.0.13.Final
2022-02-10 13:27:49.532 | restartedMain | INFO  | request_id: | org.springframework.boot.StartupInfoLogger: Starting RenshuoApplication using Java 17 on P84738 with PID 6962 (/Users/sarouar.hossain/Documents/SpringPractice/SpringRenshou/target/classes started by sarouar.hossain in /Users/sarouar.hossain/Documents/SpringPractice/SpringRenshou)
2022-02-10 13:27:49.533 | restartedMain | DEBUG | request_id: | org.springframework.boot.StartupInfoLogger: Running with Spring Boot v2.5.5, Spring v5.3.10
